input_filename	batch_id	parent_read_id	read_id	run_id	channel	mux	minknow_events	start_time	duration	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	pore_type	experiment_id	sample_id	end_reason
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	18c94d0a-4437-4f40-bd35-1a50e8755281	18c94d0a-4437-4f40-bd35-1a50e8755281	66b2eea5-f887-4690-bd76-97fd9c4e416b	2275	2	61462	1718.635986	97.062202	TRUE	1718.637939	80883	97.060204	40288	28.275787	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	e648c9fa-91c4-46ba-b992-cd1da590e362	f4f54e4f-3589-4da3-bb32-1a09ab2deab4	66b2eea5-f887-4690-bd76-97fd9c4e416b	665	1	0	1737.473999	1.184400	TRUE	1737.473999	987	1.184400	199	1.000006	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	unknown
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	b113651e-0a1e-4ea8-8e02-4721235fd0ce	b113651e-0a1e-4ea8-8e02-4721235fd0ce	66b2eea5-f887-4690-bd76-97fd9c4e416b	2544	4	21803	1801.706055	34.375999	TRUE	1801.856812	28521	34.225201	14085	29.161303	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	5b6cadfe-0e35-4860-9c43-4dbe0118046c	5b6cadfe-0e35-4860-9c43-4dbe0118046c	66b2eea5-f887-4690-bd76-97fd9c4e416b	2887	4	72964	1723.187012	116.343201	TRUE	1723.282593	96873	116.247597	47238	27.290152	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	26bc1292-4f93-40b6-9e98-1120e5ff45e2	26bc1292-4f93-40b6-9e98-1120e5ff45e2	66b2eea5-f887-4690-bd76-97fd9c4e416b	2845	1	33553	1819.750000	53.869999	TRUE	1819.893555	44772	53.726398	22239	27.785513	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	58e40d8f-eba5-4b39-ae47-a723d329c241	58e40d8f-eba5-4b39-ae47-a723d329c241	66b2eea5-f887-4690-bd76-97fd9c4e416b	2368	1	48371	1793.142944	77.525597	TRUE	1793.216919	64543	77.451599	32915	27.691957	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	e648c9fa-91c4-46ba-b992-cd1da590e362	8f27c898-426a-4d61-b183-10e70f655ec0	66b2eea5-f887-4690-bd76-97fd9c4e416b	665	1	0	1738.735962	142.005600	TRUE	1738.829590	118260	141.912003	46018	23.870430	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	7ef9c380-f2bc-4e70-ba3b-84c511907729	7ef9c380-f2bc-4e70-ba3b-84c511907729	66b2eea5-f887-4690-bd76-97fd9c4e416b	2716	4	914	1852.675049	1.530400	TRUE	1852.677002	1273	1.528400	468	6.132236	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	03c08c00-70ee-484b-b554-22ab726509d2	03c08c00-70ee-484b-b554-22ab726509d2	66b2eea5-f887-4690-bd76-97fd9c4e416b	1633	4	3008	1877.130005	4.870400	TRUE	1877.206421	3995	4.794000	1871	28.371431	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
PAW70337_66b2eea5_de8117b1_1.1k.pod5	0	cb87a098-dec1-43bc-b88f-28fced663f5b	cb87a098-dec1-43bc-b88f-28fced663f5b	66b2eea5-f887-4690-bd76-97fd9c4e416b	411	1	64073	1786.566040	105.714798	TRUE	1786.719238	87968	105.561600	40008	22.529305	not_set	20240619_human-var_protocol_cell_line_AS	ONLL08362	signal_positive
